"items","mean_bias","CP","MSE"
"a0",0.00248604874332647,100,0.00302379191120669
"a1",0.0320025984440906,100,0.00497678300138794
"a2",-0.00995237998841917,100,0.000250243712004157
"a3",0.00358849103169956,100,0.00635408161346957
"b0",0.864874878490518,0,0.748686046530172
"c0",-0.056992722978106,100,0.00609716422215909
"c1",0.107291699286313,66.6666666666667,0.0144415905431772
"c2",0.0127506347738902,100,0.00429910050936185
"c3",0.0575185102558554,100,0.00487028297629201
"NT_age",0.0476302252069087,100,0.0105724839787539
"NT_donor",0.00396171065038264,100,0.00213526372485285
"NT_gen",-0.0098279905266313,100,0.000245879267280624
"T_age",0.443258736217346,66.6666666666667,0.252600989045273
"T_donor",0.0322925647754803,100,0.00154548288962717
"T_gen",0.0139131383998151,100,0.00385932112477132


Run time
16.8705
